physiques,acteurs,concepts ,description,couleur,poids 
tspan1,tspan3,tspan6,visites accesibles,red,4
tspan37,tspan4,tspan4,tecnologie et accesibilité,bleu,5
tspan5,tspan5,tspan9,comprhension de l'art,yellow,3
